username,word_segment,punctuation_segment,numeric_segment,reverse,slangify,merge
TinCode,"code,tin",tincode,,edocnit,,code tin edocnit tincode
locator1961,"1961,locator",locator1961,"1961,locator",rotacol,,locator locator1961 1961 rotacol
security,security,security,,ytiruces,,security  ytiruces
luckmangamer,"luckman,gamer",luckmangamer,,remagnamkcul,,gamer luckman remagnamkcul luckmangamer
Sarfroz,"sarf,roz",sarfroz,,zorfras,,zorfras sarfroz roz sarf
bullbuster,"bull,buster",bullbuster,,retsubllub,,bull buster retsubllub bullbuster
aali90,aali90,aali90,"90,a,ali",ilaa,,90 ali a ilaa aali90
error121,"121,error",error121,"121,error",rorre,,rorre error error121 121
Rockstar Vishal,"vishal,rockstar","vishal,rockstar",,lahsiv ratskcor,,vishal  lahsiv ratskcor rockstar
med_bad_boy,"med,boy,bad","med,boy,bad",,yob_dab_dem,,boy bad med yob_dab_dem
shadow11,"shadow,11",shadow11,"shadow,11",wodahs,,shadow11 wodahs 11 shadow
nightmare,nightmare,nightmare,,eramthgin,,nightmare eramthgin
iamalone123123,iamalone123123,iamalone123123,"am,alone,123123,i",enolamai,,enolamai  alone i am iamalone123123 123123
Tony,tony,tony,,ynot,,tony ynot
levito88778,levito88778,levito88778,"to,88778,levi",otivel,,levito88778 88778 to levi otivel
Ajax,ajax,ajax,,xaja,,ajax xaja
Dark,dark,dark,,krad,,krad dark
zimbra,zimbra,zimbra,,arbmiz,,zimbra arbmiz
privateloader,"private,loader",privateloader,,redaoletavirp,,redaoletavirp privateloader private loader
AVILBOT,"vil,a,bot",avilbot,,tobliva,,vil avilbot a bot tobliva
Amanat Khan,"a,man,at,khan","amanat,khan",,nahk tanama,,man nahk tanama amanat a at khan
montana,montana,montana,,anatnom,,montana anatnom
Mehdiii,"mehdi,ii",mehdiii,,iiidhem,,mehdi ii mehdiii iiidhem
prasanna,prasanna,prasanna,,annasarp,,prasanna annasarp
realbusiness87,"real,business,87",realbusiness87,"real,business,87",ssenisublaer,,real 87 realbusiness87 business ssenisublaer
markswe,"marks,we",markswe,,ewskram,,markswe ewskram we marks
Vilhelm,vilhelm,vilhelm,,mlehliv,,vilhelm mlehliv
teamgfx,"team,gfx",teamgfx,,xfgmaet,,xfgmaet gfx teamgfx team
N3t Att4ck3r,n3tatt4ck3r,"att4ck3r,n3t",,r3kc4tta t3n,"nst attacksr,attr,net,net attacker,nst,attacks,n,attacker,cker,trc,net attrcker,nst attrcksr,stat,ksr,r",n3tatt4ck3r net attacker attacks attacker n3t trc nst attrcksr ksr nst attacksr attr nst n cker att4ck3r net attrcker r net r3kc4tta t3n stat
Mr.PERSIA,"mr,persia","mr,persia",,aisrep.rm,,mr persia aisrep.rm
hacsogen,"hac,gen,so",hacsogen,,negoscah,,hac hacsogen so gen negoscah
Dina Omar Afifi,"omar,dina,afifi","omar,dina,afifi",,ififa ramo anid,,omar afifi dina ififa ramo anid
neoh4ker,neoh4ker,neoh4ker,,rek4hoen,"hr,ker,haker,neohaker,neohrker,neo",rek4hoen neohrker hr ker haker neoh4ker neohaker neo
Ph,ph,ph,,hp,,hp ph
n33r4z,n33r4z,n33r4z,,z4r33n,"az,nssrrz,raz,z,neeraz,nssraz,nss,rr,neer,neerrz,rz",neer rz az raz z neeraz nssraz nss rr n33r4z z4r33n neerrz nssrrz
gwuapmaker,"maker,gwu,ap",gwuapmaker,,rekampauwg,,rekampauwg maker ap gwu gwuapmaker
pianoallegro123,"piano,allegro,123",pianoallegro123,"piano,allegro,123",orgellaonaip,,orgellaonaip allegro pianoallegro123 123 piano
c0d3r,c0d3r,c0d3r,,r3d0c,"sr,codsr,cod,coder",cod coder c0d3r sr codsr r3d0c
rafaelcarioca7,"rafael,carioca7",rafaelcarioca7,"7,rafael,carioca",acoiracleafar,,acoiracleafar rafael carioca rafaelcarioca7 7 carioca7
Sreeram Havoc,"ram,sree,havoc","havoc,sreeram",,covah mareers,,ram sree  sreeram covah mareers havoc
Wasim Akram,"wasim,akram","wasim,akram",,marka misaw,,wasim marka misaw akram
aabee,"a,abee",aabee,,eebaa,,abee eebaa a aabee
Ir1337,ir1337,ir1337,"ir,1337",ri,,1337 ir1337 ir ri
abbio4real,"abbio4,real",abbio4real,,laer4oibba,"abbiorreal,real,bio,abbioareal,a,or,abbi,ab",abbiorreal abbio4real real laer4oibba bio abbio4 abbioareal a or abbi ab
arcbal,"bal,arc",arcbal,,labcra,,labcra bal arc arcbal
silverstone,silverstone,silverstone,,enotsrevlis,,enotsrevlis silverstone
oviezane,"ovie,zane",oviezane,,enazeivo,,enazeivo zane oviezane ovie
~Drana~,"ran,d,a",~drana~,,~anard~,,~anard~ ~drana~ d a ran
Chirag Sukhala,"la,sukha,chirag","sukhala,chirag",,alahkus garihc,,sukha chirag sukhala alahkus garihc la
Jack Johnson,"johnson,jack","johnson,jack",,nosnhoj kcaj,,nosnhoj kcaj johnson jack
soonk,"soon,k",soonk,,knoos,,k soonk knoos soon
mhu.w4rl0ck,mhuw4rl0ck,"mhu,w4rl0ck",,kc0lr4w.uhm,"m,mhu.warlock,huw,hu,mhu.wrrlock,lock,warlock,rr",m mhu.warlock huw hu mhu.wrrlock kc0lr4w.uhm lock warlock rr mhu w4rl0ck mhuw4rl0ck
RDGMax,"max,rdg",rdgmax,,xamgdr,,rdgmax  max rdg xamgdr
procoder,procoder,procoder,,redocorp,,redocorp procoder
marutirao1,marutirao1,marutirao1,"rao,maruti,1",oarituram,"marutiraol,i,t,marutiraoi,aol,rao,marutiraot,maruti,r",marutiraol i t oarituram 1 marutiraoi marutirao1 aol rao maruti r marutiraot
p7771,p7771,p7771,"p,7771",p,,7771 p p7771
Remi Girard,"girard,remi","girard,remi",,drarig imer,,girard drarig imer remi
zawawy,"zaw,a,wy",zawawy,,ywawaz,,ywawaz zaw a wy zawawy
Marcin Er,"marcin,er","marcin,er",,re nicram,,marcin  er re nicram
besttechnoblog,"blog,best,techno",besttechnoblog,,golbonhcettseb,,golbonhcettseb techno blog best besttechnoblog
g00dv3ndr,g00dv3ndr,g00dv3ndr,,rdn3vd00g,"good,goodvendr,ndr,vend,goodvsndr,vs,r",g00dv3ndr  good goodvendr ndr goodvsndr rdn3vd00g vs r vend
hack3core,hack3core,hack3core,,eroc3kcah,"hackscore,core,hackecore,hack,hacke,score",hackscore core hackecore hack hack3core hacke eroc3kcah score
Neeraj Kumar Lodhi,"kumar,lodhi,neeraj","kumar,lodhi,neeraj",,ihdol ramuk jareen,,ihdol ramuk jareen kumar lodhi neeraj
sinfullgatsby,"sinfull,gatsby",sinfullgatsby,,ybstagllufnis,,sinfull gatsby ybstagllufnis sinfullgatsby
keech,keech,keech,,hceek,,keech hceek
Hacking King,"hacking,king","hacking,king",,gnik gnikcah,,gnik gnikcah hacking king
Karan Kumar,"kumar,karan","kumar,karan",,ramuk narak,,kumar karan ramuk narak
Mohit Singh,"mohit,singh","mohit,singh",,hgnis tihom,,mohit  hgnis tihom singh
InTrUd3r,intrud3r,intrud3r,,r3durtni,"intruder,tru,dsr,in,intrudsr",intruder intrud3r tru dsr in intrudsr r3durtni
Canyon,canyon,canyon,,noynac,,noynac canyon
Bhupesh,"esh,bh,up",bhupesh,,hsepuhb,,esh bhupesh  up hsepuhb bh
Lu Ka Lay,"lay,luka","ka,lu,lay",,yal ak ul,,lu lay ka luka yal ak ul
mr.ego,"mr,ego","mr,ego",,oge.rm,,mr ego oge.rm
saket.king,"saket,king","saket,king",,gnik.tekas,,gnik.tekas saket king
cdonou,"cd,ou,on",cdonou,,uonodc,,cd on ou cdonou uonodc
coindaylol,"lol,coin,day",coindaylol,,lolyadnioc,,lol day coindaylol lolyadnioc coin
The Blake,"the,blake","the,blake",,ekalb eht,,the  ekalb eht blake
mariosg7arta,mariosg7arta,mariosg7arta,,atra7gsoiram,,atra7gsoiram mariosg7arta
delamar04,delamar04,delamar04,"delamar,04",ramaled,,delamar04 delamar ramaled 04
lpcgang,"lpc,gang",lpcgang,,gnagcpl,,lpc gnagcpl gang lpcgang
vbhootna1,vbhootna1,vbhootna1,"hoot,na,vb,1",antoohbv,"nat,nal,vbhootnat,hoot,vbhootnai,nai,vbhootnal,vb",vbhootna1 nat na nal vbhootnat hoot vbhootnai 1 nai vbhootnal vb antoohbv
Culleen Perez,"perez,cull,een","culleen,perez",,zerep neelluc,,cull een zerep neelluc perez culleen
inkbird,"bird,ink",inkbird,,dribkni,,dribkni ink bird inkbird
evanscott,"scott,evan",evanscott,,ttocsnave,,evanscott  evan scott ttocsnave
blackhat,blackhat,blackhat,,tahkcalb,,blackhat tahkcalb
Diabl0,diabl0,diabl0,"diab,l,0",lbaid,diablo,0 diabl0 l lbaid diab diablo
Kasparov,kasparov,kasparov,,vorapsak,,kasparov vorapsak
tnieiasAAC/k,"tn,iei,as,a,ack",tnieiasaac/k,,k/caasaieint,,tn tnieiasaac/k iei as a k/caasaieint ack
xp1910,xp1910,xp1910,"xp,1910",px,,xp1910 xp 1910 px
Himanshu Yadav,"yadav,himanshu","yadav,himanshu",,vaday uhsnamih,,vaday uhsnamih yadav himanshu
Gorkem,"g,or,kem",gorkem,,mekrog,,g mekrog kem gorkem or
Thomas4,"4,thomas",thomas4,"4,thomas",samoht,"thomas,thomasa,thomasr,a,r",4 thomas thomasa thomasr thomas4 samoht a r
hh486,hh486,hh486,"hh,486",hh,,hh486 hh 486
Gar,gar,gar,,rag,,gar rag
Tesd Dunn,"t,esd,dunn","dunn,tesd",,nnud dset,,nnud dset dunn t tesd esd
Qovuqa,"ovu,qa,q",qovuqa,,aquvoq,,q aquvoq ovu qa qovuqa
Daredevil,daredevil,daredevil,,livederad,,daredevil livederad
abarznji,"i,a,nj,barz",abarznji,,ijnzraba,,abarznji i ijnzraba nj a barz
MrBang,"mr,bang",mrbang,,gnabrm,,gnabrm mrbang bang mr
prpellr,"pell,pr,r",prpellr,,rlleprp,,rlleprp prpellr pr pell r
Internet,internet,internet,,tenretni,,tenretni internet
smartyyadav,"smarty,yadav",smartyyadav,,vadayytrams,,smarty smartyyadav yadav vadayytrams
Roger_Rabbit1337,"rabbit,1337,roger","rabbit1337,roger","rabbit,1337,roger",tibbar_regor,,tibbar_regor 1337 roger rabbit1337 rabbit
arjunkhanna29,arjunkhanna29,arjunkhanna29,"arjun,khanna,29",annahknujra,,arjun  khanna arjunkhanna29 29 annahknujra
Jacob,jacob,jacob,,bocaj,,bocaj jacob
hjepsjga_94,hjepsjga94,"94,hjepsjga","eps,94,hj,jga",_agjspejh,,94 hj jga eps _agjspejh hjepsjga hjepsjga94
tornado,tornado,tornado,,odanrot,,tornado  odanrot
$root,root,",root",,toor$,,root toor$
mcmanuel20,mcmanuel20,mcmanuel20,"mc,manuel,20",leunamcm,,manuel leunamcm mcmanuel20 mc 20
Neeraj Punjabi,"punjabi,neeraj","punjabi,neeraj",,ibajnup jareen,,neeraj  ibajnup jareen punjabi
kbt0000,kbt0000,kbt0000,"kbt,0000",tbk,,tbk kbt kbt0000 0000
oba11,oba11,oba11,"11,oba",abo,,oba11 oba 11 abo
Night Rid3r,"rid3r,night","rid3r,night",,r3dir thgin,"night ridsr,night rider,sr,nightrider,rid,night",r3dir thgin night ridsr night rider sr rid3r nightrider rid night
nptest,"test,np",nptest,,tsetpn,,test np tsetpn nptest
secretsquirell,"ll,squire,secret",secretsquirell,,lleriuqsterces,,lleriuqsterces ll secretsquirell secret squire
sirius64,"64,sirius",sirius64,"64,sirius",suiris,,sirius64 suiris 64 sirius
vps.cracker,"cracker,vps","cracker,vps",,rekcarc.spv,,cracker rekcarc.spv vps
Foksi,"si,fok",foksi,,iskof,,iskof fok si foksi
Raj Haraniya,"hara,raj,niya","haraniya,raj",,ayinarah jar,,hara haraniya ayinarah jar raj niya
JohnDoe,johndoe,johndoe,,eodnhoj,,johndoe eodnhoj
unbelieve,"un,believe",unbelieve,,eveilebnu,,believe eveilebnu unbelieve un
KasaLP,"p,kasal",kasalp,,plasak,,kasal plasak kasalp p
jegr said,"said,jeg,r","jegr,said",,dias rgej,,jeg jegr said dias rgej r
pirateprince,"pirate,prince",pirateprince,,ecnirpetarip,,pirateprince prince pirate ecnirpetarip
tutmoses,"tut,moses",tutmoses,,sesomtut,,moses tut tutmoses sesomtut
Noobusinghacks,"using,hacks,noob",noobusinghacks,,skcahgnisuboon,,skcahgnisuboon using noob noobusinghacks hacks
wapfalls,"falls,wap",wapfalls,,sllafpaw,,sllafpaw falls wapfalls wap
krugerhacker,"kruger,hacker",krugerhacker,,rekcahregurk,,hacker kruger krugerhacker rekcahregurk
ziamulyana2,ziamulyana2,ziamulyana2,"amulya,2,na,zi",anaylumaiz,"naz,amulya,ziamulyanaz,zi",amulya na naz 2 ziamulyanaz zi ziamulyana2 anaylumaiz
Navjeet Rathore,"rathore,nav,jeet","navjeet,rathore",,erohtar teejvan,,navjeet rathore nav jeet erohtar teejvan
rafiqctg2038,rafiqctg2038,rafiqctg2038,"rafiq,2038,ctg",gtcqifar,,2038 gtcqifar ctg rafiqctg2038 rafiq
cyberghost,"ghost,cyber",cyberghost,,tsohgrebyc,,cyber ghost cyberghost tsohgrebyc
noob0x3,noob0x3,noob0x3,"noob0x,3",x0boon,"nooboxe,box,s,nooboxs,noo,e",nooboxe box e noob0x s noob0x3 3 nooboxs noo x0boon
markben390,markben390,markben390,"mark,ben,390",nebkram,,nebkram 390 markben390 mark ben
FAA!bio Bagattoli,"bio,toli,at,bag,faa","faa,bio,bagattoli",,ilottagab oib!aaf,,ilottagab oib!aaf bio bagattoli at toli bag faa
nae,nae,nae,,ean,,ean nae
bourdj,"dj,our,b",bourdj,,jdruob,,dj jdruob bourdj our b
Anuraj Vklm,"anura,jv,klm","anuraj,vklm",,mlkv jaruna,,anuraj anura mlkv jaruna klm jv vklm
Mortal Zeus,"mortal,zeus","mortal,zeus",,suez latrom,,mortal suez latrom zeus
Makinged,"making,ed",makinged,,degnikam,,makinged  making degnikam ed
blackzorro,"zorro,black",blackzorro,,orrozkcalb,,zorro orrozkcalb blackzorro black
Nsycak Owo Gcfr Snr,nsycakowogcfrsnr,"nsycak,owo,snr,gcfr",,rns rfcg owo kacysn,,nsycakowogcfrsnr gcfr snr rns rfcg owo kacysn owo nsycak
Dato Japharidze,datojapharidze,"japharidze,dato",,ezdirahpaj otad,,dato japharidze datojapharidze ezdirahpaj otad
pianistanero,"nero,pianist,a",pianistanero,,orenatsinaip,,pianist orenatsinaip nero a pianistanero
ByCoder,"by,coder",bycoder,,redocyb,,coder by bycoder redocyb
#zer0,zer0,",zer0","zer,0",rez#,"zero,#zero",zer 0 #zero rez# zero zer0
FloodSys,"sys,flood",floodsys,,sysdoolf,,sysdoolf sys floodsys flood
SystemX,"system,x",systemx,,xmetsys,,xmetsys system x systemx
rainbowconnect,"rainbow,connect",rainbowconnect,,tcennocwobniar,,rainbow rainbowconnect connect tcennocwobniar
mdmsd2,mdmsd2,mdmsd2,"md,msd,2",dsmdm,"sdz,mdmsdz,mdm",dsmdm 2 sdz mdm msd md mdmsd2 mdmsdz
Malik Ubaid,"ubaid,malik","ubaid,malik",,diabu kilam,,ubaid diabu kilam malik
gnaikmailbox,"naik,g,mailbox",gnaikmailbox,,xobliamkiang,,g xobliamkiang mailbox naik gnaikmailbox
rel.vendor,"rel,vendor","rel,vendor",,rodnev.ler,,rel vendor rodnev.ler
Slilsis,"is,sli,ls",slilsis,,sislils,,sislils is slilsis sli ls
Patel,patel,patel,,letap,,letap patel
canino1997,"ino1997,can",canino1997,"1997,canino",oninac,,canino1997  canino can oninac ino1997 1997
w266,w266,w266,"266,w",w,,266 w266 w
GULJANJAN,"jan,gul",guljanjan,,najnajlug,,gul guljanjan jan najnajlug
Albert Ruzvelt,"albert,velt,ruz","albert,ruzvelt",,tlevzur trebla,,albert  ruzvelt ruz velt tlevzur trebla
ipadlover99,ipadlover99,ipadlover99,"lover,pad,99,i",revoldapi,,revoldapi i ipadlover99 pad lover 99
AN0N.PH03N1X,an0nph03n1x,"an0n,ph03n1x",,x1n30hp.n0na,"phoenix,lx,tx,ntx,anon.phoentx,anon.phoenix,anon.phosnix,nix,nlx,phoen,anon.phosntx,a,anon.phosnlx,phos,non,anon.phoenlx",an0n nlx phoen x1n30hp.n0na anon.phosntx a anon.phosnlx lx anon.phosnix nix phoenix tx ntx anon.phoenix ph03n1x anon.phoenlx anon.phoentx an0nph03n1x phos non
goodhacker,"good,hacker",goodhacker,,rekcahdoog,,good hacker rekcahdoog goodhacker
Medicalsoftware,"software,medical",medicalsoftware,,erawtfoslacidem,,medical erawtfoslacidem medicalsoftware software
geekmango,"geek,mango",geekmango,,ognamkeeg,,geek  geekmango ognamkeeg mango
3qrab12,3qrab12,3qrab12,"12,rab,q,3",barq,"sqr,sqrab,eqrab,rab,eq,ab",12 barq sqr q sqrab 3 eqrab rab eq 3qrab12 ab
jarbukk1,jarbukk1,jarbukk1,"buk,jar,1,k",kkubraj,"buk,jarbukkt,kt,jar,jarbukkl,kl,jarbukki,ki",buk jarbukkt jarbukk1 k kt jar 1 jarbukkl kkubraj kl jarbukki ki
sathyaZ,"z,sathya",sathyaz,,zayhtas,,zayhtas sathyaz sathya z
jackregan1,jackregan1,jackregan1,"regan,1,jack",nagerkcaj,"i,jackregani,regan,t,jackregant,jackreganl,l,jack",i jackregani regan jackregan1 1 t jackregant nagerkcaj jackreganl l jack
hacker.nima,"nima,hacker","nima,hacker",,amin.rekcah,,nima amin.rekcah hacker
cybdom,"dom,cyb",cybdom,,modbyc,,dom  modbyc cybdom cyb
jjoorriissjjuuhh,jjoorriissjjuuhh,jjoorriissjjuuhh,,hhuujjssiirroojj,,jjoorriissjjuuhh hhuujjssiirroojj
sirrobinho,"robinho,sir",sirrobinho,,ohniborris,,ohniborris robinho sir sirrobinho
Leaf,leaf,leaf,,fael,,leaf fael
jinxrr,"jinx,rr",jinxrr,,rrxnij,,jinxrr rrxnij jinx rr
Had3z,had3z,had3z,,z3dah,"had,hadez,hadsz,sz,ez",had hadez hadsz z3dah sz ez had3z
Tabakk,"tabak,k",tabakk,,kkabat,,kkabat k tabakk tabak
zabadak,"zaba,dak",zabadak,,kadabaz,,kadabaz zaba zabadak dak
-=_ Cyber Warrior _=-,"warrior,cyber",",=,warrior,cyber",,-=_ roirraw rebyc _=-,,-=_ roirraw rebyc _=- cyber = warrior
crucio07,crucio07,crucio07,"07,cru,cio",oicurc,,cru cio 07 crucio07 oicurc
thewebrat,"the,rat,web",thewebrat,,tarbeweht,,the  thewebrat web rat tarbeweht
Kilaz,"az,kil",kilaz,,zalik,,zalik az kilaz kil
Creed,creed,creed,,deerc,,creed deerc
HardTrickySecurity,"security,hard,tricky",hardtrickysecurity,,ytirucesykcirtdrah,,ytirucesykcirtdrah hardtrickysecurity hard security tricky
desswilly,"dess,willy",desswilly,,ylliwssed,,willy desswilly ylliwssed dess
provider,provider,provider,,redivorp,,redivorp provider
toodast123,"odast123,to",toodast123,"dast,too,123",tsadoot,,tsadoot dast too to 123 toodast123 odast123
rockboy69,rockboy69,rockboy69,"69,boy,rock",yobkcor,,rockboy69 yobkcor 69 boy rock
Ghost_lite,"ghost,lite","ghost,lite",,etil_tsohg,,etil_tsohg ghost lite
cleansoul,"clean,soul",cleansoul,,luosnaelc,,clean cleansoul soul luosnaelc
Apocer,"apo,cer",apocer,,recopa,,apo apocer recopa cer
PhoenixX,"phoenix,x",phoenixx,,xxineohp,,phoenix x phoenixx xxineohp
steva,"eva,st",steva,,avets,,steva  avets eva st
rmtdxb2011,rmtdxb2011,rmtdxb2011,"2011,dxb,rmt",bxdtmr,,dxb bxdtmr 2011 rmtdxb2011 rmt
Alina Irfat,"al,air,fat,in","alina,irfat",,tafri anila,,tafri anila alina fat in irfat al air
y0ussef_hesham,y0ussefhesham,"hesham,y0ussef",,mahseh_fessu0y,"hesham,youssef_hesham,youssef",mahseh_fessu0y youssef y0ussef y0ussefhesham youssef_hesham hesham
troxy,"t,roxy",troxy,,yxort,,yxort t troxy roxy
klthingz,"thingz,kl",klthingz,,zgnihtlk,,zgnihtlk kl thingz klthingz
sunpise12,sunpise12,sunpise12,"12,sun,pise",esipnus,,12  pise esipnus sun sunpise12
Njunior,"n,junior",njunior,,roinujn,,junior n roinujn njunior
ChrisLiven,"chris,liven",chrisliven,,nevilsirhc,,nevilsirhc chrisliven liven chris
femmyoju,"ju,myo,fem",femmyoju,,ujoymmef,,ju femmyoju ujoymmef myo fem
crack_anonymous,"anonymous,crack","anonymous,crack",,suomynona_kcarc,,crack anonymous suomynona_kcarc
david01,"01,david",david01,"01,david",divad,,david01 david 01 divad
zZazaaza,"az,zaza,a,z",zzazaaza,,azaazazz,,azaazazz az z a zaza zzazaaza
issam-lord,"is,sam,lord","issam,lord",,drol-massi,,issam drol-massi lord sam is
Sourav Kumar,"kumar,sourav","kumar,sourav",,ramuk varuos,,kumar ramuk varuos sourav
amirho3ein,amirho3ein,amirho3ein,,nie3ohrima,"hose,hoe,ein,amirhosein,in,amir,amirhoeein",nie3ohrima hose hoe ein amirho3ein amirhosein in amir amirhoeein
pcsxiso,"iso,pcsx",pcsxiso,,osixscp,,osixscp pcsxiso pcsx iso
pcsx.is,"is,pcsx","is,pcsx",,si.xscp,,is si.xscp pcsx
BrotherBe109,"be109,brother",brotherbe109,"be,brother,109",ebrehtorb,,brotherbe109 brother 109 be be109 ebrehtorb
pinkus66,pinkus66,pinkus66,"us,66,pink",suknip,,us  pinkus66 66 suknip pink
daodao.mo,"dao,mo","daodao,mo",,om.oadoad,,daodao dao mo om.oadoad
contatowork,"contato,work",contatowork,,krowotatnoc,,contatowork krowotatnoc work contato
BDM,bdm,bdm,,mdb,,mdb bdm
whalemaja5,whalemaja5,whalemaja5,"whale,maja,5",ajamelahw,"whale,as,maj,whalemajas",maj 5 whalemaja5 maja as whalemajas whale ajamelahw
CyberSeason,"cyber,season",cyberseason,,nosaesrebyc,,cyber nosaesrebyc cyberseason season
spyjana,"jan,a,spy",spyjana,,anajyps,,anajyps spy a spyjana jan
ausarmy13,ausarmy13,ausarmy13,"us,army,a,13",ymrasua,,us ymrasua  13 army a ausarmy13
talk2dallas,"dallas,talk2",talk2dallas,,sallad2klat,"talkzdallas,talk,dallas,z",sallad2klat talkzdallas talk2dallas talk2 z talk dallas
Pr!M0u$_9,prm0u9,",pr,m0u,9","prm0u,9",_$u0m!rp,"prmou9,pr!mou$_9",prm0u 9 prmou9 prm0u9 _$u0m!rp pr pr!mou$_9 m0u
rawa1416,rawa1416,rawa1416,"a,raw,1416",awar,,1416 rawa1416 a raw awar
duomnudan,"duo,mnu,dan",duomnudan,,nadunmoud,,duo duomnudan nadunmoud dan mnu
powerful.NT.rootkit,"powerful,rootkit,nt","powerful,rootkit,nt",,tiktoor.tn.lufrewop,,powerful  rootkit nt tiktoor.tn.lufrewop
princeventures,"prince,ventures",princeventures,,serutnevecnirp,,prince serutnevecnirp princeventures ventures
callen3345,"en3345,call",callen3345,"3345,callen",nellac,,callen3345 call 3345 callen nellac en3345
TheThetheorist,"the,theorist",thethetheorist,,tsiroehtehteht,,the  tsiroehtehteht thethetheorist theorist
nury1234,nury1234,nury1234,"1234,nury",yrun,,1234 nury yrun nury1234
gleese,"se,glee",gleese,,eseelg,,gleese se eseelg glee
Kripke,kripke,kripke,,ekpirk,,ekpirk kripke
Bsocial,"social,b",bsocial,,laicosb,,bsocial b social laicosb
realvand,"real,and,v",realvand,,dnavlaer,,real dnavlaer and v realvand
xReM1x,xrem1x,xrem1x,,x1merx,"xremtx,tx,x,remix,xremlx,xremix,re,mlx,rem",xremtx tx xrem1x x x1merx remix xremlx xremix re mlx rem
banned212b,"212b,banned",banned212b,,b212dennab,"banned,zt,zl,bannedzlzb,zi,bannedzizb,zb,bannedztzb",banned zt banned212b zl 212b bannedzlzb zi bannedzizb zb b212dennab bannedztzb
something,something,something,,gnihtemos,,something  gnihtemos
D4rK_w)lF,d4rkwlf,"w,d4rk,lf",,fl)w_kr4d,"wlf,dark_w)lf,dr,drrk_w)lf,dark,rk",w d4rk wlf dark_w)lf dr drrk_w)lf d4rkwlf dark rk fl)w_kr4d lf
orxteam,"or,xteam",orxteam,,maetxro,,xteam orxteam maetxro or
f100d.club,"club,f100d","club,f100d",,bulc.d001f,"fiood.club,ood,too,fi,d,club,flood.club,flood,ftood.club,f",fiood.club ood too fi d club flood.club flood ftood.club f100d bulc.d001f f
lalalajpat,"lajpat,la",lalalajpat,,tapjalalal,,tapjalalal lalalajpat lajpat la
rjmz,"mz,rj",rjmz,,zmjr,,rjmz rj zmjr mz
Biokinetix,"bio,kinetix",biokinetix,,xitenikoib,,bio biokinetix kinetix xitenikoib
Ghenghis,"g,his,heng",ghenghis,,sihgnehg,,g his sihgnehg heng ghenghis
win2lin2015,win2lin2015,win2lin2015,"win2lin,2015",nil2niw,"winzlin,win,zlin",winzlin nil2niw win2lin 2015 win2lin2015 win zlin
scorpion2015,"scorpion,2015",scorpion2015,"scorpion,2015",noiprocs,,noiprocs scorpion 2015 scorpion2015
pci53305,pci53305,pci53305,"pci,53305",icp,,icp pci53305 pci 53305
jaswanth,"h,jaswant",jaswanth,,htnawsaj,,jaswanth htnawsaj jaswant h
amionxp,"xp,on,ami",amionxp,,pxnoima,,pxnoima amionxp ami on xp
restart404,"restart,404",restart404,"404,restart",tratser,,tratser 404 restart restart404
misteroffensmis,"mister,is,sm,offen",misteroffensmis,,simsnefforetsim,,mister offen misteroffensmis sm is simsnefforetsim
cyberx,"x,cyber",cyberx,,xrebyc,,x cyber cyberx xrebyc
thegiant,"the,giant",thegiant,,tnaigeht,,the thegiant  giant tnaigeht
